ticker;year_report;quarter_report;period_date;pe;pb;ps;price_to_cash_flow;ev_to_ebitda;roe;roa;gross_margin;pre_tax_margin;after_tax_margin;debt_to_equity;financial_leverage;current_ratio;quick_ratio;cash_ratio;asset_turnover;market_cap;shares;net_interest_margin;cir;car;casa_ratio;npl;ldr;loans_growth;deposit_growth
PGN;2024;4;;102.7448933605;0.720048653;0.3511831478;14.1036776042;11.4873870221;0.0070327643;0.0037545713;0.0565801447;0.0084154486;0.0034180107;0.7835050815;0.7835050815;1.9589428252;1.0278646579;0.0347118005;1.0984667924;77611843800.0;9464859.0;0.0;0.0;;;0.0;0.0;0.0;0.0
PGN;2025;1;;114.1383293733;0.5781591903;0.2810707923;5.3290183151;12.0005095073;0.0050313023;0.0027429719;0.0429819219;0.0072743501;0.0024625452;0.7960511321;0.7960511321;1.9874903305;1.9449915771;0.1477539124;1.1138767873;62468069400.0;9464859.0;0.0;0.0;;;0.0;0.0;0.0;0.0
PGN;2025;2;;-47.9484048633;0.5244568176;0.2901109175;0.8485157677;18.055534591;-0.0109176415;-0.0061649091;0.0276956868;-0.002666194;-0.0060504811;0.6534370314;0.6534370314;2.2094352795;2.1265936614;0.0037756418;1.0189122193;56789154000.0;9464859.0;0.0;0.0;;;0.0;0.0;0.0;0.0
PGN;2025;3;;-104.0090783861;0.5632506899;0.3676537035;0.544305752;24.3453785916;-0.0054599196;-0.0032114453;0.0205775929;-0.0003127211;-0.0035348232;0.5693132088;0.5693132088;1.7723598793;1.6479279886;0.0142099467;0.9085165186;61521583500.0;9464859.0;0.0;0.0;;;0.0;0.0;0.0;0.0
PGN;2025;4;;38.1349340434;0.655884179;0.5690506919;2.5787766961;21.8652845195;0.0173482244;0.0103303461;0.0357840428;0.0200541574;0.0149220316;0.5769781393;0.5769781393;1.7775849575;1.6003839343;0.0116034152;0.6922881822;71932928400.0;9464859.0;0.0;0.0;;;0.0;0.0;0.0;0.0
PGS;2024;1;;15.1588419824;1.5994618634;0.2706870679;7.9334874851;7.2904867243;0.1030028672;0.0410047854;0.1556238044;0.0245813083;0.0178567115;1.610835056;1.610835056;1.0040509875;0.919776712;0.2853748406;2.2963234541;1539962855200.0;49998794.0;0.0;0.0;;;0.0;0.0;0.0;0.0
PGS;2024;2;;15.4099247434;1.7193658795;0.2793402177;4.0366524066;7.7535297167;0.109921762;0.0427693922;0.1511124933;0.0247345585;0.0181272928;1.6666291087;1.6666291087;1.014096662;0.9338584304;0.3160210983;2.3593921429;1669959719600.0;49998794.0;0.0;0.0;;;0.0;0.0;0.0;0.0
PGS;2024;3;;13.626392041;1.5798905526;0.2547949944;4.1544256426;5.6930952591;0.118153137;0.0452572626;0.1462837341;0.0254396016;0.0186986396;1.4563895941;1.4563895941;1.0649162799;0.984075585;0.3963664893;2.420350541;1589961649200.0;49998794.0;0.0;0.0;;;0.0;0.0;0.0;0.0
PGS;2024;4;;13.4518358473;1.5372998575;0.242279749;4.7092448835;5.9265377238;0.1145622786;0.0415720906;0.1465546331;0.0231196426;0.0180109059;1.8001393449;1.8001393449;1.0606171612;0.9873871598;0.558677213;2.308162117;1559962372800.0;49998794.0;0.0;0.0;;;0.0;0.0;0.0;0.0
PGS;2025;1;;15.8942403496;1.7776014377;0.2844714823;5.6326559514;7.0778989439;0.1156680926;0.0443459686;0.1476521838;0.0229835762;0.0178977715;1.5140073399;1.5140073399;1.1059723321;1.0098370699;0.4383822881;2.4777368796;1854955257400.0;49998794.0;0.0;0.0;;;0.0;0.0;0.0;0.0
